"rep_id","n_input","beta","n_cat","effect_size_fast","p_value_fast","effect_size_nca","p_value_nca","nca_error"
174,500,0.4,5,0.0625,0.012987012987013,0.0625,0.016983016983017,NA
175,500,0.4,5,0.0625,0.018981018981019,0.0625,0.010989010989011,NA
176,500,0.4,5,0.125,0.001,0.125,0.001,NA
177,500,0.4,5,0.0625,0.011988011988012,0.0625,0.01998001998002,NA
178,500,0.4,5,0,1,0,1,NA
179,500,0.4,5,0.0625,0.038961038961039,0.0625,0.042957042957043,NA
180,500,0.4,5,0,1,NA,NA,"subscript out of bounds | fallback failed: subscript out of bounds"
181,500,0.4,5,0,1,NA,NA,"subscript out of bounds | fallback failed: subscript out of bounds"
182,500,0.4,5,0,1,NA,NA,"subscript out of bounds | fallback failed: subscript out of bounds"
183,500,0.4,5,0,1,NA,NA,"subscript out of bounds | fallback failed: subscript out of bounds"
184,500,0.4,5,0,1,NA,NA,"subscript out of bounds | fallback failed: subscript out of bounds"
185,500,0.4,5,0.0625,0.022977022977023,0.0625,0.014985014985015,NA
186,500,0.4,5,0,1,NA,NA,"subscript out of bounds | fallback failed: subscript out of bounds"
187,500,0.4,5,0.0625,0.00799200799200799,0.0625,0.011988011988012,NA
188,500,0.4,5,0.0625,0.01998001998002,0.0625,0.023976023976024,NA
189,500,0.4,5,0.0625,0.02997002997003,0.0625,0.022977022977023,NA
190,500,0.4,5,0.0625,0.021978021978022,0.0625,0.022977022977023,NA
191,500,0.4,5,0.0625,0.00699300699300699,0.0625,0.00699300699300699,NA
192,500,0.4,5,0.125,0.001,0.125,0.001,NA
193,500,0.4,5,0.0625,0.014985014985015,0.0625,0.023976023976024,NA
194,500,0.4,5,0.0625,0.003996003996004,0.0625,0.00599400599400599,NA
195,500,0.4,5,0,1,NA,NA,"subscript out of bounds | fallback failed: subscript out of bounds"
196,500,0.4,5,0,1,NA,NA,"subscript out of bounds | fallback failed: subscript out of bounds"
197,500,0.4,5,0,1,NA,NA,"subscript out of bounds | fallback failed: subscript out of bounds"
198,500,0.4,5,0,1,NA,NA,"subscript out of bounds | fallback failed: subscript out of bounds"
199,500,0.4,5,0.0625,0.031968031968032,0.0625,0.02997002997003,NA
200,500,0.4,5,0.0625,0.01998001998002,0.0625,0.032967032967033,NA
201,500,0.4,5,0,1,NA,NA,"subscript out of bounds | fallback failed: subscript out of bounds"
202,500,0.4,5,0.0625,0.023976023976024,0.0625,0.033966033966034,NA
203,500,0.4,5,0,1,NA,NA,"subscript out of bounds | fallback failed: subscript out of bounds"
204,500,0.4,5,0.0625,0.032967032967033,0.0625,0.03996003996004,NA
205,500,0.4,5,0.0625,0.017982017982018,0.0625,0.016983016983017,NA
206,500,0.4,5,0,1,0,1,NA
207,500,0.4,5,0.0625,0.017982017982018,0.0625,0.013986013986014,NA
208,500,0.4,5,0.0625,0.027972027972028,0.0625,0.022977022977023,NA
209,500,0.4,5,0.0625,0.032967032967033,0.0625,0.034965034965035,NA
210,500,0.4,5,0.0625,0.03996003996004,0.0625,0.034965034965035,NA
211,500,0.4,5,0.0625,0.025974025974026,0.0625,0.018981018981019,NA
212,500,0.4,5,0.0625,0.00799200799200799,0.0625,0.00699300699300699,NA
213,500,0.4,5,0.0625,0.026973026973027,0.0625,0.020979020979021,NA
214,500,0.4,5,0.0625,0.010989010989011,0.0625,0.00699300699300699,NA
